# field on trajectory
# s[mm] rx[mm] ry[mm] rz[mm] bx[T] by[T] bz[T]
0.0000000000000000e+00 +7.9199999999999999e+00 +0.0000000000000000e+00 +0.0000000000000000e+00 -2.8656264694306814e-02 -5.3870907839467441e-01 +5.3408959181268489e-03
1.0000000000000001e-01 +7.9199997168637477e+00 +0.0000000000000000e+00 +9.9999999999465558e-02 -2.8656234328640014e-02 -5.3870901930803194e-01 +5.3409626568534947e-03
2.0000000000000001e-01 +7.9199988674550346e+00 +0.0000000000000000e+00 +1.9999999999572449e-01 -2.8656202685491846e-02 -5.3870894455700280e-01 +5.3410297879926908e-03
3.0000000000000004e-01 +7.9199974517739387e+00 +0.0000000000000000e+00 +2.9999999998557014e-01 -2.8656170157150784e-02 -5.3870885494922005e-01 +5.3410973949026838e-03
4.0000000000000002e-01 +7.9199954698205550e+00 +0.0000000000000000e+00 +3.9999999996579583e-01 -2.8656137135901847e-02 -5.3870875129233720e-01 +5.3411655609408928e-03
5.0000000000000000e-01 +7.9199929215949920e+00 +0.0000000000000000e+00 +4.9999999993319494e-01 -2.8656104014028266e-02 -5.3870863439402539e-01 +5.3412343694639840e-03
5.9999999999999998e-01 +7.9199898070973722e+00 +0.0000000000000000e+00 +5.9999999988456088e-01 -2.8656071183813105e-02 -5.3870850506196821e-01 +5.3413039038279651e-03
6.9999999999999996e-01 +7.9199861263278324e+00 +0.0000000000000000e+00 +6.9999999981668692e-01 -2.8656039037540937e-02 -5.3870836410385825e-01 +5.3413742473882499e-03
7.9999999999999993e-01 +7.9199818792865209e+00 +0.0000000000000000e+00 +7.9999999972636648e-01 -2.8656007967499415e-02 -5.3870821232739063e-01 +5.3414454834997422e-03
8.9999999999999991e-01 +7.9199770659735966e+00 +0.0000000000000000e+00 +8.9999999961039301e-01 -2.8655978365981011e-02 -5.3870805054026139e-01 +5.3415176955169284e-03
9.9999999999999989e-01 +7.9199716863892302e+00 +0.0000000000000000e+00 +9.9999999946555973e-01 -2.8655950625284591e-02 -5.3870787955016097e-01 +5.3415909667939411e-03
1.0999999999999999e+00 +7.9199657405336010e+00 +0.0000000000000000e+00 +1.0999999992886602e+00 -2.8655925137717073e-02 -5.3870770016477065e-01 +5.3416653806846459e-03
1.2000000000000000e+00 +7.9199592284068983e+00 +0.0000000000000000e+00 +1.1999999990764876e+00 -2.8655902295595101e-02 -5.3870751319175858e-01 +5.3417410205427295e-03
1.3000000000000000e+00 +7.9199521500093182e+00 +0.0000000000000000e+00 +1.2999999988258355e+00 -2.8655882491246672e-02 -5.3870731943877459e-01 +5.3418179697217651e-03
1.4000000000000001e+00 +7.9199445053410651e+00 +0.0000000000000000e+00 +1.3999999985334972e+00 -2.8655866117012735e-02 -5.3870711971344620e-01 +5.3418963115753086e-03
1.5000000000000002e+00 +7.9199362944023486e+00 +0.0000000000000000e+00 +1.4999999981962659e+00 -2.8655853565248888e-02 -5.3870691482337407e-01 +5.3419761294569634e-03
1.6000000000000003e+00 +7.9199275171933845e+00 +0.0000000000000000e+00 +1.5999999978109354e+00 -2.8655845228327047e-02 -5.3870670557612832e-01 +5.3420575067204745e-03
1.7000000000000004e+00 +7.9199181737143922e+00 +0.0000000000000000e+00 +1.6999999973742987e+00 -2.8655841498637022e-02 -5.3870649277924310e-01 +5.3421405267197993e-03
1.8000000000000005e+00 +7.9199082639655964e+00 +0.0000000000000000e+00 +1.7999999968831495e+00 -2.8655842768588190e-02 -5.3870627724021325e-01 +5.3422252728091944e-03
1.9000000000000006e+00 +7.9198977879472245e+00 +0.0000000000000000e+00 +1.8999999963342811e+00 -2.8655849430611148e-02 -5.3870605976648855e-01 +5.3423118283432904e-03
2.0000000000000004e+00 +7.9198867456595048e+00 +0.0000000000000000e+00 +1.9999999957244869e+00 -2.8655861877159339e-02 -5.3870584116547138e-01 +5.3424002766771748e-03
2.1000000000000005e+00 +7.9198751371026672e+00 +0.0000000000000000e+00 +2.0999999950505606e+00 -2.8655880336913343e-02 -5.3870562220586038e-01 +5.3424906767710533e-03
2.2000000000000006e+00 +7.9198629622769419e+00 +0.0000000000000000e+00 +2.1999999943092949e+00 -2.8655904383385878e-02 -5.3870540350171825e-01 +5.3425829900037745e-03
2.3000000000000007e+00 +7.9198502211825597e+00 +0.0000000000000000e+00 +2.2999999934974840e+00 -2.8655933426306943e-02 -5.3870518562844738e-01 +5.3426771533585608e-03
2.4000000000000008e+00 +7.9198369138197497e+00 +0.0000000000000000e+00 +2.3999999926119209e+00 -2.8655966875420286e-02 -5.3870496916144717e-01 +5.3427731038183388e-03
2.5000000000000009e+00 +7.9198230401887395e+00 +0.0000000000000000e+00 +2.4999999916493989e+00 -2.8656004140483471e-02 -5.3870475467611612e-01 +5.3428707783657091e-03
2.6000000000000010e+00 +7.9198086002897554e+00 +0.0000000000000000e+00 +2.5999999906067117e+00 -2.8656044631267950e-02 -5.3870454274785218e-01 +5.3429701139829202e-03
2.7000000000000011e+00 +7.9197935941230204e+00 +0.0000000000000000e+00 +2.6999999894806530e+00 -2.8656087757559116e-02 -5.3870433395205597e-01 +5.3430710476518430e-03
2.8000000000000012e+00 +7.9197780216887548e+00 +0.0000000000000000e+00 +2.7999999882680160e+00 -2.8656132929156423e-02 -5.3870412886413244e-01 +5.3431735163539402e-03
2.9000000000000012e+00 +7.9197618829871743e+00 +0.0000000000000000e+00 +2.8999999869655939e+00 -2.8656179555873424e-02 -5.3870392805949208e-01 +5.3432774570702397e-03
3.0000000000000013e+00 +7.9197451780184904e+00 +0.0000000000000000e+00 +2.9999999855701804e+00 -2.8656227047537869e-02 -5.3870373211355338e-01 +5.3433828067813117e-03
3.1000000000000014e+00 +7.9197279067829101e+00 +0.0000000000000000e+00 +3.0999999840785688e+00 -2.8656274813991734e-02 -5.3870354160174483e-01 +5.3434895024672326e-03
3.2000000000000015e+00 +7.9197100692806339e+00 +0.0000000000000000e+00 +3.1999999824875527e+00 -2.8656322265091367e-02 -5.3870335709950679e-01 +5.3435974811075699e-03
3.3000000000000016e+00 +7.9196916655118557e+00 +0.0000000000000000e+00 +3.2999999807939258e+00 -2.8656368810707485e-02 -5.3870317918229238e-01 +5.3437066796813452e-03
3.4000000000000017e+00 +7.9196726954767636e+00 +0.0000000000000000e+00 +3.3999999789944808e+00 -2.8656413860725330e-02 -5.3870300842557117e-01 +5.3438170351670089e-03
3.5000000000000018e+00 +7.9196531591755379e+00 +0.0000000000000000e+00 +3.4999999770860120e+00 -2.8656456825044637e-02 -5.3870284540482893e-01 +5.3439284845424187e-03
3.6000000000000019e+00 +7.9196330566083502e+00 +0.0000000000000000e+00 +3.5999999750653124e+00 -2.8656497113579840e-02 -5.3870269069557219e-01 +5.3440409647848080e-03
