::  4.778871815324399
::  4.778871815324401
--- model polynom_b (rz > 0). units: [m] for length, [rad] for angle and [m^(n-1)] for polynom_b ---
 len[m]    angle[deg]   PolyB(n=0)     PolyB(n=1)     PolyB(n=2)     PolyB(n=3)     PolyB(n=4)     PolyB(n=5)     PolyB(n=6)    
 0.1250 ,  +0.40591 ,  +0.0000e+00 ,  -7.7525e-01 ,  +5.1230e-02 ,  +5.9654e+00 ,  -5.6449e+02 ,  -1.8723e+04 ,  +3.4239e+06 , 
 0.0550 ,  +0.17947 ,  +0.0000e+00 ,  -7.7375e-01 ,  +2.2151e-02 ,  +5.1871e+00 ,  -3.1944e+02 ,  -1.5060e+04 ,  +2.1332e+06 , 
 0.0100 ,  +0.03257 ,  +0.0000e+00 ,  -7.6944e-01 ,  -2.3429e-02 ,  +7.6153e+00 ,  -5.0878e+01 ,  -2.8873e+04 ,  +6.9421e+05 , 
 0.0050 ,  +0.01622 ,  +0.0000e+00 ,  -7.6166e-01 ,  -5.6613e-02 ,  +7.6373e+00 ,  -2.4306e+02 ,  -3.2564e+04 ,  +1.4176e+06 , 
 0.0050 ,  +0.01616 ,  +0.0000e+00 ,  -7.5251e-01 ,  -1.9485e-01 ,  +8.4023e+00 ,  -2.2371e+02 ,  -3.3650e+04 ,  +1.2428e+06 , 
 0.0050 ,  +0.01614 ,  +0.0000e+00 ,  -7.4689e-01 ,  -3.2348e-01 ,  +8.4149e+00 ,  +1.2475e+02 ,  -3.1229e+04 ,  -3.7358e+05 , 
 0.0050 ,  +0.01616 ,  +0.0000e+00 ,  -7.5093e-01 ,  -2.2931e-01 ,  +7.3215e+00 ,  -8.2889e+01 ,  -2.7039e+04 ,  +3.4910e+05 , 
 0.0100 ,  +0.03251 ,  +0.0000e+00 ,  -7.6366e-01 ,  -7.1372e-02 ,  +7.3698e+00 ,  +2.9753e+02 ,  -2.8519e+04 ,  -1.2042e+06 , 
 0.0100 ,  +0.03268 ,  +0.0000e+00 ,  -7.7119e-01 ,  -3.7623e-02 ,  +7.0578e+00 ,  +3.3643e+02 ,  -2.3675e+04 ,  -1.1554e+06 , 
 0.1750 ,  +0.57091 ,  +0.0000e+00 ,  -7.7384e-01 ,  +5.3976e-02 ,  +4.0160e+00 ,  +3.7120e+02 ,  +2.9055e+03 ,  -1.2041e+06 , 
 0.1750 ,  +0.57073 ,  +0.0000e+00 ,  -7.7294e-01 ,  +1.2535e-01 ,  +4.2232e+00 ,  -4.8014e+02 ,  +1.1662e+04 ,  +2.5728e+06 , 
 0.0200 ,  +0.06322 ,  +0.0000e+00 ,  -7.8528e-01 ,  -1.2292e-01 ,  +1.5433e+01 ,  -6.0061e+02 ,  -2.1704e+04 ,  +3.2621e+06 , 
 0.0100 ,  +0.02721 ,  +0.0000e+00 ,  -6.7595e-01 ,  -3.1002e-01 ,  +2.1841e+01 ,  -5.1196e+02 ,  -1.6112e+04 ,  +1.3880e+06 , 
 0.0150 ,  +0.02867 ,  +0.0000e+00 ,  -3.5940e-01 ,  -2.3632e+00 ,  +2.4992e+01 ,  -2.3219e+02 ,  -5.6381e+03 ,  -2.6990e+05 , 
 0.0200 ,  +0.01994 ,  +0.0000e+00 ,  -1.0654e-01 ,  -2.1941e+00 ,  +1.3502e+01 ,  +1.3467e+02 ,  -4.4618e+03 ,  -1.0888e+06 , 
 0.0300 ,  +0.01188 ,  +0.0000e+00 ,  -2.3617e-02 ,  -9.0673e-01 ,  +4.3848e+00 ,  +1.6538e+02 ,  -2.7726e+03 ,  -6.9929e+05 , 
 0.0320 ,  +0.00444 ,  +0.0000e+00 ,  -4.4827e-03 ,  -2.6585e-01 ,  +6.1893e-01 ,  +5.6086e+01 ,  +6.8749e+02 ,  -1.6784e+05 , 
 0.0325 ,  +0.00338 ,  +3.6725e-04 ,  -1.3098e-03 ,  -1.2878e-01 ,  +5.8314e-01 ,  +3.9852e+01 ,  -2.7964e+03 ,  -1.5470e+05 , 
