residue - dangP:+0.082 %, dangN:-0.175 %, drefrxP: -26.15 um, drefrxN: -84.33 um
residue - dangP:-0.063 %, dangN:+0.067 %, drefrxP:  +0.44 um, drefrxN:  +0.14 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.19 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.18 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.18 um
magnet:B2-001, current:381.7A => energy:2.848880 GeV, x0: 7.970 mm, px:+0.0262 deg
residue - dangP:+0.098 %, dangN:-0.159 %, drefrxP: -25.86 um, drefrxN: -83.94 um
residue - dangP:-0.063 %, dangN:+0.067 %, drefrxP:  +0.40 um, drefrxN:  +0.10 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.19 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.18 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.18 um
magnet:B2-001, current:401.8A => energy:2.997095 GeV, x0: 7.971 mm, px:+0.0262 deg
residue - dangP:+0.087 %, dangN:-0.169 %, drefrxP: -28.72 um, drefrxN: -86.66 um
residue - dangP:-0.063 %, dangN:+0.067 %, drefrxP:  +0.41 um, drefrxN:  +0.12 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.19 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.18 um
residue - dangP:-0.065 %, dangN:+0.065 %, drefrxP:  +0.18 um, drefrxN:  -0.18 um
magnet:B2-001, current:421.9A => energy:3.144234 GeV, x0: 7.973 mm, px:+0.0261 deg
residue - dangP:-0.051 %, dangN:+0.018 %, drefrxP: -52.86 um, drefrxN: -38.91 um
residue - dangP:+0.013 %, dangN:-0.010 %, drefrxP:  +0.14 um, drefrxN:  +0.19 um
residue - dangP:+0.012 %, dangN:-0.012 %, drefrxP:  -0.04 um, drefrxN:  +0.03 um
residue - dangP:+0.012 %, dangN:-0.012 %, drefrxP:  -0.03 um, drefrxN:  +0.03 um
residue - dangP:+0.012 %, dangN:-0.012 %, drefrxP:  -0.03 um, drefrxN:  +0.03 um
magnet:B2-002, current:381.7A => energy:2.849926 GeV, x0: 7.964 mm, px:-0.0063 deg
residue - dangP:-0.054 %, dangN:+0.015 %, drefrxP: -55.01 um, drefrxN: -41.20 um
residue - dangP:+0.013 %, dangN:-0.010 %, drefrxP:  +0.14 um, drefrxN:  +0.19 um
residue - dangP:+0.012 %, dangN:-0.012 %, drefrxP:  -0.03 um, drefrxN:  +0.03 um
residue - dangP:+0.012 %, dangN:-0.012 %, drefrxP:  -0.03 um, drefrxN:  +0.03 um
residue - dangP:+0.012 %, dangN:-0.012 %, drefrxP:  -0.03 um, drefrxN:  +0.03 um
magnet:B2-002, current:401.8A => energy:2.997628 GeV, x0: 7.966 mm, px:-0.0062 deg
